      n	repetitions	역정렬	순정렬	랜덤
     0	15169908	0.000000	0.000000	0.000000
    10	1144031	0.000000	0.000000	0.000001
    20	473105	0.000001	0.000001	0.000002
    30	279108	0.000001	0.000001	0.000004
    40	188747	0.000003	0.000002	0.000005
    50	137282	0.000004	0.000003	0.000007
    60	105012	0.000005	0.000005	0.000010
    70	83762	0.000007	0.000006	0.000012
    80	68190	0.000009	0.000008	0.000015
    90	56797	0.000011	0.000010	0.000018
   100	48257	0.000013	0.000012	0.000021
   200	15448	0.000049	0.000047	0.000065
   300	7623	0.000107	0.000103	0.000131
   400	4551	0.000186	0.000181	0.000220
   500	3025	0.000288	0.000281	0.000331
   600	2155	0.000413	0.000405	0.000464
   700	1614	0.000561	0.000550	0.000620
   800	1253	0.000726	0.000716	0.000798
   900	1003	0.000917	0.000905	0.000997
  1000	821	0.001130	0.001115	0.001218
  1100	684	0.001372	0.001349	0.001463
  1200	578	0.001628	0.001610	0.001732
  1300	495	0.001903	0.001876	0.002020
  1400	429	0.002207	0.002176	0.002331
  1500	377	0.002532	0.002509	0.002658
  1600	332	0.002888	0.002849	0.003018
  1700	295	0.003247	0.003204	0.003390
  1800	264	0.003640	0.003601	0.003795
  1900	238	0.004049	0.003996	0.004206
  2000	215	0.004484	0.004434	0.004660
